customer_id,customer_name,customer_type
1,Hoang Binh,REGULAR
2,Ngo Em,VIP
3,Dang Ich,VIP
4,Le Dung,VIP
5,Bui An,REGULAR
6,Ngo Hoa,REGULAR
7,Tran Binh,NEW
8,Bui Giang,REGULAR
9,Do Giang,VIP
10,Nguyen Dung,REGULAR
11,Ngo Phuong,NEW
12,Le Khanh,REGULAR
13,Vu Khanh,VIP
14,Ngo Em,NEW
15,Vu Khanh,REGULAR
16,Bui Cuong,NEW
17,Bui Khanh,VIP
18,Le Cuong,REGULAR
19,Do Phuong,NEW
20,Do Dung,NEW
21,Tran Binh,REGULAR
22,Dang An,NEW
23,Hoang Khanh,VIP
24,Ngo Phuong,REGULAR
25,Vu Em,NEW
26,Hoang Hoa,NEW
27,Pham Em,REGULAR
28,Tran Khanh,REGULAR
29,Bui Dung,VIP
30,Do Cuong,NEW
31,Ngo Binh,VIP
32,Le Hoa,REGULAR
33,Nguyen Giang,VIP
34,Nguyen Cuong,REGULAR
35,Nguyen Dung,NEW
36,Nguyen Ich,VIP
37,Tran Phuong,REGULAR
38,Dang Hoa,REGULAR
39,Nguyen Binh,VIP
40,Bui Ich,REGULAR
41,Bui Em,REGULAR
42,Tran Binh,NEW
43,Do Cuong,NEW
44,Do Ich,REGULAR
45,Hoang Binh,VIP
46,Le An,VIP
47,Vu Giang,REGULAR
48,Ngo Giang,REGULAR
49,Pham Ich,VIP
50,Dang Giang,VIP
51,Do Khanh,NEW
52,Nguyen Em,REGULAR
53,Nguyen Cuong,VIP
54,Do Giang,REGULAR
55,Le Binh,VIP
56,Do Ich,REGULAR
57,Pham Ich,VIP
58,Bui Em,REGULAR
59,Vu Giang,REGULAR
60,Le Giang,REGULAR
61,Nguyen Cuong,NEW
62,Bui Giang,REGULAR
63,Dang Em,VIP
64,Ngo Ich,NEW
65,Do Cuong,NEW
66,Do Em,VIP
67,Tran Dung,REGULAR
68,Bui Giang,REGULAR
69,Bui Khanh,VIP
70,Hoang Phuong,VIP
71,Vu Em,VIP
72,Vu Cuong,VIP
73,Nguyen Giang,NEW
74,Bui Ich,VIP
75,Do Em,NEW
76,Tran Giang,REGULAR
77,Hoang Cuong,NEW
78,Vu Binh,NEW
79,Bui Binh,VIP
80,Ngo Hoa,REGULAR
81,Nguyen Em,REGULAR
82,Pham Khanh,NEW
83,Bui An,VIP
84,Tran Em,REGULAR
85,Vu Khanh,REGULAR
86,Ngo Binh,REGULAR
87,Do Giang,NEW
88,Vu Em,REGULAR
89,Ngo Khanh,REGULAR
90,Nguyen Binh,NEW
91,Le An,REGULAR
92,Ngo Cuong,NEW
93,Hoang Hoa,NEW
94,Hoang Khanh,REGULAR
95,Nguyen Khanh,NEW
96,Tran Phuong,REGULAR
97,Le Phuong,REGULAR
98,Le Dung,REGULAR
99,Dang Phuong,NEW
100,Pham Ich,NEW
101,Dang Phuong,NEW
102,Pham Ich,NEW
103,Hoang Hoa,NEW
104,Le Phuong,VIP
105,Hoang An,VIP
106,Dang Phuong,NEW
107,Pham Ich,REGULAR
108,Pham Phuong,VIP
109,Dang An,REGULAR
110,Vu Giang,VIP
111,Le Khanh,VIP
112,Vu Dung,VIP
113,Nguyen Em,VIP
114,Le Giang,VIP
115,Ngo Hoa,REGULAR
116,Do Khanh,NEW
117,Dang Khanh,REGULAR
118,Bui Dung,NEW
119,Dang Binh,VIP
120,Nguyen Giang,NEW
121,Dang Em,REGULAR
122,Nguyen Giang,VIP
123,Vu Em,NEW
124,Le Cuong,NEW
125,Tran Khanh,NEW
