customer_id,customer_name,province,amount,note
10,  hoang quoc oanh ,HoChiMinh,3403444,moi dang ky
38,Duong Minh Tam ,DaNang,570969,can cham soc
54,  le minh an ,HaiPhong,433211,
55,  do thi phuc ,NgheAn,12008855,moi dang ky
62,nguyen  thi   xuan,ThanhHoa,288588,
63,TRINH MINH VIET,HaiPhong,394355,khach quen
64,do  quoc   an,NgheAn,14178368,moi dang ky
74,luu  minh   cuong,CanTho,1860744,khach quen
82,DO THI MAI,BinhDuong,13156086,can cham soc
90,Tran Huu Phuong ,ThanhHoa,512236,moi dang ky
91,DO THANH XUAN,HaiPhong,613524,
97,phan  ngoc   cuong,CanTho,877161,can cham soc
98,CAO MINH AN,HaNoi,696257,VIP tiem nang
111,Vu Ngoc Quyen ,HaNoi,7455900,can cham soc
127,Le Ngoc Dung ,BinhDuong,12498796,khach quen
130,DO NGOC PHUC,DaNang,360769,moi dang ky
140,do  thanh   khanh,ThanhHoa,10240562,
155,PHAN VAN BINH,HoChiMinh,10263446,
178,do van ich,ThanhHoa,3194647,moi dang ky
194,DANG NGOC QUYEN,HoChiMinh,17864929,
206,bui thanh uyen,ThanhHoa,3801357,
207,  bui huu xuan ,BinhDuong,472428,
224,TA DUC EM,ThanhHoa,1704277,VIP tiem nang
234,do  van   khanh,NgheAn,2693365,moi dang ky
250,nguyen  thi   nam,HaiPhong,1696242,can cham soc
259,dang ngoc khanh,HaNoi,2951705,
272,bui  huu   binh,NgheAn,779689,
278,  pham thanh an ,BinhDuong,10411752,khach quen
280,TA HUU PHUC,HaiPhong,458743,khach quen
284,  do ngoc hoa ,ThanhHoa,370072,
302,  cao van nam ,NgheAn,452053,moi dang ky
338,  ta thanh binh ,KhanhHoa,449836,moi dang ky
340,ly ngoc phuc,ThanhHoa,430736,can cham soc
360,  pham huu khanh ,HaiPhong,17315372,khach quen
371,Bui Van Son ,DaNang,10896537,
425,  do minh tam ,DaNang,1993636,
426,Nguyen Ngoc Binh ,BinhDuong,832188,moi dang ky
429,NGUYEN DUC AN,NgheAn,228400,
437,Do Van Tam ,HoChiMinh,4247078,moi dang ky
446,  hoang minh khanh ,NgheAn,461863,khach quen
478,CAO MINH MAI,ThanhHoa,1543052,VIP tiem nang
485,  nguyen thi quyen ,CanTho,1230706,
486,  dang duc quyen ,DongNai,2752900,VIP tiem nang
488,vu  minh   son,HoChiMinh,467411,
494,TA THANH PHUC,CanTho,654789,
512,  vu duc phuong ,NgheAn,876083,can cham soc
520,tran ngoc cuong,NgheAn,5691600,khach quen
529,  bui quoc uyen ,ThanhHoa,2655972,
544,DANG VAN NAM,KhanhHoa,2178060,
554,Ngo Thi Ich ,HaNoi,793991,moi dang ky
557,pham  thanh   nam,ThanhHoa,553195,moi dang ky
562,Trinh Minh Em ,KhanhHoa,16945729,
570,  phan thanh hoa ,NgheAn,10526837,
572,ta ngoc long,CanTho,373610,moi dang ky
573,  dang thi son ,BinhDuong,4314497,
590,  bui ngoc yen ,DongNai,2735347,moi dang ky
595,NGUYEN NGOC AN,DongNai,2920932,khach quen
